ticker,asset_name,asset_group,sequence_in_5d_window,date,close,run_timestamp_utc,run_timestamp_et
SPY,S&P 500 proxy,Index proxy,1,2026-06-12,739.84,2026-06-19T21:36:35.240168+00:00,2026-06-19T17:36:35.240168-04:00
SPY,S&P 500 proxy,Index proxy,2,2026-06-15,752.89,2026-06-19T21:36:35.240168+00:00,2026-06-19T17:36:35.240168-04:00
SPY,S&P 500 proxy,Index proxy,3,2026-06-16,748.4,2026-06-19T21:36:35.240168+00:00,2026-06-19T17:36:35.240168-04:00
SPY,S&P 500 proxy,Index proxy,4,2026-06-17,739.06,2026-06-19T21:36:35.240168+00:00,2026-06-19T17:36:35.240168-04:00
SPY,S&P 500 proxy,Index proxy,5,2026-06-18,746.74,2026-06-19T21:36:35.240168+00:00,2026-06-19T17:36:35.240168-04:00
QQQ,Nasdaq 100 proxy,Index proxy,1,2026-06-12,721.34,2026-06-19T21:36:35.240168+00:00,2026-06-19T17:36:35.240168-04:00
QQQ,Nasdaq 100 proxy,Index proxy,2,2026-06-15,744.0,2026-06-19T21:36:35.240168+00:00,2026-06-19T17:36:35.240168-04:00
QQQ,Nasdaq 100 proxy,Index proxy,3,2026-06-16,729.86,2026-06-19T21:36:35.240168+00:00,2026-06-19T17:36:35.240168-04:00
QQQ,Nasdaq 100 proxy,Index proxy,4,2026-06-17,722.51,2026-06-19T21:36:35.240168+00:00,2026-06-19T17:36:35.240168-04:00
QQQ,Nasdaq 100 proxy,Index proxy,5,2026-06-18,740.62,2026-06-19T21:36:35.240168+00:00,2026-06-19T17:36:35.240168-04:00
IWM,Russell 2000 proxy,Index proxy,1,2026-06-12,292.26,2026-06-19T21:36:35.240168+00:00,2026-06-19T17:36:35.240168-04:00
IWM,Russell 2000 proxy,Index proxy,2,2026-06-15,294.64,2026-06-19T21:36:35.240168+00:00,2026-06-19T17:36:35.240168-04:00
IWM,Russell 2000 proxy,Index proxy,3,2026-06-16,292.08,2026-06-19T21:36:35.240168+00:00,2026-06-19T17:36:35.240168-04:00
IWM,Russell 2000 proxy,Index proxy,4,2026-06-17,289.88,2026-06-19T21:36:35.240168+00:00,2026-06-19T17:36:35.240168-04:00
IWM,Russell 2000 proxy,Index proxy,5,2026-06-18,295.59,2026-06-19T21:36:35.240168+00:00,2026-06-19T17:36:35.240168-04:00
XLK,Technology sector proxy,Sector proxy,1,2026-06-12,184.8,2026-06-19T21:36:35.240168+00:00,2026-06-19T17:36:35.240168-04:00
XLK,Technology sector proxy,Sector proxy,2,2026-06-15,191.79,2026-06-19T21:36:35.240168+00:00,2026-06-19T17:36:35.240168-04:00
XLK,Technology sector proxy,Sector proxy,3,2026-06-16,186.44,2026-06-19T21:36:35.240168+00:00,2026-06-19T17:36:35.240168-04:00
XLK,Technology sector proxy,Sector proxy,4,2026-06-17,185.8,2026-06-19T21:36:35.240168+00:00,2026-06-19T17:36:35.240168-04:00
XLK,Technology sector proxy,Sector proxy,5,2026-06-18,191.44,2026-06-19T21:36:35.240168+00:00,2026-06-19T17:36:35.240168-04:00
XLF,Financials sector proxy,Sector proxy,1,2026-06-12,53.34,2026-06-19T21:36:35.240168+00:00,2026-06-19T17:36:35.240168-04:00
XLF,Financials sector proxy,Sector proxy,2,2026-06-15,53.56,2026-06-19T21:36:35.240168+00:00,2026-06-19T17:36:35.240168-04:00
XLF,Financials sector proxy,Sector proxy,3,2026-06-16,54.35,2026-06-19T21:36:35.240168+00:00,2026-06-19T17:36:35.240168-04:00
XLF,Financials sector proxy,Sector proxy,4,2026-06-17,54.05,2026-06-19T21:36:35.240168+00:00,2026-06-19T17:36:35.240168-04:00
XLF,Financials sector proxy,Sector proxy,5,2026-06-18,53.57,2026-06-19T21:36:35.240168+00:00,2026-06-19T17:36:35.240168-04:00
XLE,Energy sector proxy,Sector proxy,1,2026-06-12,57.55,2026-06-19T21:36:35.240168+00:00,2026-06-19T17:36:35.240168-04:00
XLE,Energy sector proxy,Sector proxy,2,2026-06-15,55.55,2026-06-19T21:36:35.240168+00:00,2026-06-19T17:36:35.240168-04:00
XLE,Energy sector proxy,Sector proxy,3,2026-06-16,55.36,2026-06-19T21:36:35.240168+00:00,2026-06-19T17:36:35.240168-04:00
XLE,Energy sector proxy,Sector proxy,4,2026-06-17,54.67,2026-06-19T21:36:35.240168+00:00,2026-06-19T17:36:35.240168-04:00
XLE,Energy sector proxy,Sector proxy,5,2026-06-18,53.77,2026-06-19T21:36:35.240168+00:00,2026-06-19T17:36:35.240168-04:00
